,user_screen_name,user_name
17012,mass_adit,Adhitya Kallukus
17040,maiadestya,MAIA DESTYA
17068,sirajapadoha,👁 Hasian 👀
17122,jayeng_zeno,JAYSEN. ❤🇮🇩
17148,masjaki,"mohon izin, bapak pimpinan..."
17170,PolsektroTabang,Polsek Tanah Abang
17204,ary_moto,arymoto
17215,jnessy_,𝙅𝙤.𝙣𝙖𝙥
17221,syukron_mamun88,Rumah syariah
17236,Sherin_Tiara,KITA Kawal Pakde Jokowi sampai 2024💪
17319,bread_selling,selling bread (SAHWA BAKERY)
17460,PolresPalangka,Polresta Palangka Raya
17463,NapiPKS,H4N_5KS🇮🇩 😷
17484,Babeh_Sem,Babeh Sem
17489,wantahgdn__,Wanta
17511,artyunie76,🕊️️્᭄͜͡⍣yuπiε͠ε⍣࿐͓̽⋆
17556,PermaisuriAyu_,Permaisuri Ayoe ❤️
17578,Izznaq,Izza
17639,denni_sauya,𝔻𝕖𝕟𝕟𝕚 𝕊𝕒𝕦𝕪𝕒
17666,Gadis_Kampungk,Gadis ™
17748,PolresKetapang,Polres Ketapang
17850,Catatan_ali7,CatatanAli7™️
18019,andrajoleno,𝔞𝔫𝔡𝔯𝔞
18449,sheyalll,TIGA L
18867,soup_soup11,Soup
19428,TolikaraPolres,Polres Tolikara
19487,phsycalgraffiti,lalita 🇻🇳
19589,Humaspolseksum2,Humaspolseksumberrejo
19870,Ardishorinji,Hayam Ardi Wirawan
19881,NagregPolsek,Polsek Nagreg
20130,PolsekPagu,Polsek Pagu Kediri
20486,infoRIAU,IG: info_riau
20487,P_SungaiKakap,Polsek Sungai Kakap
20518,KangMuslihat8,Kang Muslihat
20592,PolresTolitoli,Polres Tolitoli
20683,katapang_polsek,Polsek_katapang
20705,SekDayeuhkolot1,Polsek Dayeuhkolot
20731,polisi_jatim,POLRI_51AP
20931,AdrianR3Y,Casperhood
20968,alvinrio_1501,アルヴィン⚪
21041,joe_sipz,joe
21058,DesaBandingan,Desa Bandingan 🇮🇩
21085,ilhamnug12,Ilham Nugraha
21093,Oktario_007,sSmoky
21096,jogjapokeid,jogjapokeid
21097,DalamIstana,OrangDalamIstana
21346,KoranBUMN,Koran BUMN
21762,SumarniGrobogan,Sri Sumarni Grobogan
24461,PolresKra,POLRES KARANGANYAR
24614,zhu_dave,Zhu *Anti Intoleransi dan Kadrun mabok*
24869,Michaelrachman4,Michelle Mabelle
24897,kabarklaten,Kabar Klaten
24929,kelmalabar,kelmalabar
24983,ReenTis_,RirinTisa
25024,ayoktweet,"ayok ""pake masker"""
25096,harmonia83,in progesio
25135,2Ribu4J,E L F
25142,P3rsada27,🅿🅴🆁🆂🅰🅳🅰 👉🏻2⃣7⃣🇲🇨
25192,smasatup,🫥YST-M04 🇮🇩
26823,ArtOfpol,blekmen
29419,gye_tha,Gyeanitha
30212,imamiskan,Imam
30242,uniulaya,Uniulaya
30510,NyiAgeng_Jogja,NyaiAgengJogja ❤️
30601,chuyAjah,ᮎᮠᮅᮚ
30629,charlessiahaan,GENK NUSANTARA
30641,ichazura,KAI BIG WIN ✨🍀
30643,Brigade01Arwan1,#RaDesa
30692,Terima_Berkat,K Y 🇮🇩
30733,Erul_khaerul,KHAERUL ANWAR™
31179,OhLaVita_Resto,"Pasta, Pizza & Steak"
31225,Don_Marthino,Marthin Hadiwinata
31256,Kodim_Purworejo,Kodim_Purworejo
31490,PresidenKopi,Presiden Kopi.
31575,KedubesBekasi,Kedubes Bekasi
31825,anieserdogan,adilmakmur
31929,KODIM0722,Kodim 0️⃣7️⃣2️⃣2️⃣/Kudus
32107,JemuneG,3pS_™
32219,K412R4,Atee
32239,talbisiblisss,Gemppp
32274,DenMas_anjhayyy,🇮🇩 𝙳𝚎𝚗 🅼🅰🆂🆂🆂 . . .
32293,simbahstp,simbah
32397,Budi_Paparrazzi,Budi Paparrazzi
32489,prastow,Prastowo Yustinus
32726,yeahelahVendo,🐰
32794,kipay08,KIPAY Official ❤
32819,BBcoid,beritabekasi.co.id
32837,ilhamardhinug,PX150
32907,mudah_bergaul,Mudah Bergaul
33269,TBerdesa,CAK MA'RUF SINYO
33274,ferrykoto,Ferry Koto
33314,Nanaka_Kanono,𝐃𝐞𝐞 - 𝐍
33384,NarasiRakyat62,NarasiRakyat+62
33399,aang_ajadeh,AANG
33554,nyonyakepiting,☯️Mamacia
33668,banjarmasinarea,BANJARMASIN AREA
33727,vini_vidi_veci,trust me
33964,Dejavu_TcDharma,Dejavu
33978,Bu_Ke_Siansu,Bu Khek Siansu
33991,_senjamu,Senjamu
34121,naga27_,Penghuni hutan Seribu Bunga
65799,Batman_Monyok,Batman Monyok
65810,GarengHallu,Gareng G
65812,BangNalar,Bang NalaR☕
65848,Klentingkuniing,Artika Amanda 🈴
65849,Laju_peTang,🈴InginKu ➡️トイレで夜寝る
65856,cutty_____,anak ayam 🐣
65858,HaleyLuhooo,momoLuphie
65912,monitorindo,HARIAN TERBIT
65951,lord_indralogy,indralogy
